reaction,reaction_normalized,custom_group,custom_group_label,mapping_basis
Mixed Adenoneuroendocrine Carcinoma,Mixed Adenoneuroendocrine Carcinoma,neoplasm,Neoplasms,rule
Stomatococcal Infection,Stomatococcal Infection,infection,Infections,rule
Blood Ketone Body Decreased,Blood Ketone Body Decreased,laboratory,Laboratory and investigation,rule
Mesenteric Abscess,Mesenteric Abscess,other,Other / manual review,fallback
Angiosarcoma Recurrent,Angiosarcoma Recurrent,neoplasm,Neoplasms,rule
Haemophilic Pseudotumour,Haemophilic Pseudotumour,neoplasm,Neoplasms,rule
Haematuria Traumatic,Haematuria Traumatic,renal_urinary,Renal and urinary,rule
Bladder Transitional Cell Carcinoma Stage I,Bladder Transitional Cell Carcinoma Stage I,neoplasm,Neoplasms,rule
Oesophageal Stent Stenosis,Oesophageal Stent Stenosis,device,Device and procedure-related,rule
Choledochal Cyst,Choledochal Cyst,other,Other / manual review,fallback
Monocyte Chemotactic Protein-1 Increased,Monocyte Chemotactic Protein-1 Increased,laboratory,Laboratory and investigation,rule
Asynclitic Presentation,Asynclitic Presentation,other,Other / manual review,fallback
Depression Postoperative,Depression Postoperative,psychiatric,Psychiatric and behavioural,rule
Exposure To Extreme Temperature,Exposure To Extreme Temperature,injury,Injury and poisoning,rule
